label,referenceUrl,url
IP-PE-103,https://yssofindia.org/event/monastic-tour-nagpur-october-2023,https://test.yssofindia.org/event/monastic-tour-nagpur-october-2023
IP-PE-104,https://yssofindia.org/event/monastic-tour-jodhpur-october-2023,https://test.yssofindia.org/event/monastic-tour-jodhpur-october-2023
IP-PE-105,https://yssofindia.org/event/monastic-tour-kolhapur-october-2023,https://test.yssofindia.org/event/monastic-tour-kolhapur-october-2023
IP-PE-106,https://yssofindia.org/event/monastic-tour-dwarahat-september-2023,https://test.yssofindia.org/event/monastic-tour-dwarahat-september-2023
IP-PE-107,https://yssofindia.org/event/retreat-puri-november-2023,https://test.yssofindia.org/event/retreat-puri-november-2023
IP-PE-108,https://yssofindia.org/event/retreat-noida-september-2023,https://test.yssofindia.org/event/retreat-noida-september-2023
IP-PE-109,https://yssofindia.org/event/monastic-tour-korba-november-2023,https://test.yssofindia.org/event/monastic-tour-korba-november-2023
IP-PE-110,https://yssofindia.org/event/retreat-puri-december-2023,https://test.yssofindia.org/event/retreat-puri-december-2023
IP-PE-111,https://yssofindia.org/event/monastic-tour-bhopal-december-2023,https://test.yssofindia.org/event/monastic-tour-bhopal-december-2023
IP-PE-112,https://yssofindia.org/event/monastic-tour-pune-december-2023,https://test.yssofindia.org/event/monastic-tour-pune-december-2023
IP-PE-113,https://yssofindia.org/event/monastic-tour-raipur-december-2023,https://test.yssofindia.org/event/monastic-tour-raipur-december-2023
IP-PE-114,https://yssofindia.org/event/monastic-tour-bhuj-december-2023,https://test.yssofindia.org/event/monastic-tour-bhuj-december-2023
IP-PE-115,https://yssofindia.org/event/monastic-tour-rajkot-december-2023,https://test.yssofindia.org/event/monastic-tour-rajkot-december-2023
IP-PE-116,https://yssofindia.org/event/monastic-tour-surat-december-2023,https://test.yssofindia.org/event/monastic-tour-surat-december-2023
IP-PE-117,https://yssofindia.org/event/retreat-dihika-december-2023,https://test.yssofindia.org/event/retreat-dihika-december-2023
IP-PE-118,https://yssofindia.org/ta/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2023,https://test.yssofindia.org/ta/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2023
IP-PE-119,https://yssofindia.org/te/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2023,https://test.yssofindia.org/te/event/mahavatar-babaji-smriti-divas-celebration-dwarahat-july-2023
IP-PE-120,https://yssofindia.org/event/monastic-tour-bhimavaram-december-2023,https://test.yssofindia.org/event/monastic-tour-bhimavaram-december-2023
IP-PE-121,https://yssofindia.org/event/monastic-tour-khammam-december-2023,https://test.yssofindia.org/event/monastic-tour-khammam-december-2023
IP-PE-122,https://yssofindia.org/event/monastic-tour-palamaner-december-2023,https://test.yssofindia.org/event/monastic-tour-palamaner-december-2023
IP-PE-123,https://yssofindia.org/event/monastic-tour-chennai-december-2023,https://test.yssofindia.org/event/monastic-tour-chennai-december-2023
IP-PE-124,https://yssofindia.org/event/monastic-tour-tirunelveli-december-2023,https://test.yssofindia.org/event/monastic-tour-tirunelveli-december-2023
IP-PE-125,https://yssofindia.org/event/monastic-tour-paramakudi-december-2023,https://test.yssofindia.org/event/monastic-tour-paramakudi-december-2023
IP-PE-126,https://yssofindia.org/event/monastic-tour-bareilly-january-2024,https://test.yssofindia.org/event/monastic-tour-bareilly-january-2024
IP-PE-127,https://yssofindia.org/event/monastic-tour-ajmer-february-2024,https://test.yssofindia.org/event/monastic-tour-ajmer-february-2024
IP-PE-128,https://yssofindia.org/event/monastic-tour-surana-february-2024,https://test.yssofindia.org/event/monastic-tour-surana-february-2024
IP-PE-129,https://yssofindia.org/event/monastic-tour-warangal-february-2024,https://test.yssofindia.org/event/monastic-tour-warangal-february-2024
IP-PE-130,https://yssofindia.org/event/monastic-tour-pithapuram-february-2024,https://test.yssofindia.org/event/monastic-tour-pithapuram-february-2024
IP-PE-131,https://yssofindia.org/event/monastic-tour-daraunda-february-2024,https://test.yssofindia.org/event/monastic-tour-daraunda-february-2024
IP-PE-132,https://yssofindia.org/event/monastic-tour-udaipur-february-2024,https://test.yssofindia.org/event/monastic-tour-udaipur-february-2024
IP-PE-133,https://yssofindia.org/event/monastic-tour-guntur-february-2024,https://test.yssofindia.org/event/monastic-tour-guntur-february-2024
IP-PE-134,https://yssofindia.org/event/monastic-tour-vijapur-february-2024,https://test.yssofindia.org/event/monastic-tour-vijapur-february-2024
IP-PE-135,https://yssofindia.org/event/monastic-tour-porbandar-february-2024,https://test.yssofindia.org/event/monastic-tour-porbandar-february-2024
IP-PE-136,https://yssofindia.org/event/monastic-tour-bhubaneswar-february-2024,https://test.yssofindia.org/event/monastic-tour-bhubaneswar-february-2024
IP-PE-137,https://yssofindia.org/event/monastic-tour-bhavnagar-february-2024,https://test.yssofindia.org/event/monastic-tour-bhavnagar-february-2024
IP-PE-138,https://yssofindia.org/event/monastic-tour-cochin-february-2024,https://test.yssofindia.org/event/monastic-tour-cochin-february-2024
IP-PE-139,https://yssofindia.org/event/monastic-tour-kannur-february-2024,https://test.yssofindia.org/event/monastic-tour-kannur-february-2024
IP-PE-140,https://yssofindia.org/event/monastic-tour-arsikere-march-2024,https://test.yssofindia.org/event/monastic-tour-arsikere-march-2024
IP-PE-141,https://yssofindia.org/event/monastic-tour-gorakhpur-march-2024,https://test.yssofindia.org/event/monastic-tour-gorakhpur-march-2024
IP-PE-142,https://yssofindia.org/event/monastic-tour-bailhongal-march-2024,https://test.yssofindia.org/event/monastic-tour-bailhongal-march-2024
IP-PE-143,https://yssofindia.org/event/monastic-tour-varanasi-march-2024,https://test.yssofindia.org/event/monastic-tour-varanasi-march-2024
IP-PE-144,https://yssofindia.org/event/monastic-tour-nasik-march-2024,https://test.yssofindia.org/event/monastic-tour-nasik-march-2024
IP-PE-145,https://yssofindia.org/event/monastic-tour-haridwar-march-2024,https://test.yssofindia.org/event/monastic-tour-haridwar-march-2024
IP-PE-146,https://yssofindia.org/event/monastic-tour-mumbai-march-2024,https://test.yssofindia.org/event/monastic-tour-mumbai-march-2024
IP-PE-147,https://yssofindia.org/event/monastic-tour-dakshineswar-january-2024,https://test.yssofindia.org/event/monastic-tour-dakshineswar-january-2024
