label,referenceUrl,url
1-Homepage / Hindi,https://yssofindia.org/hi,https://test.yssofindia.org/hi?4000
2-AOY AudioBook / Hindi,https://yssofindia.org/hi/autobiography-of-a-yogi-regional-languages-free-audiobook,https://test.yssofindia.org/hi/autobiography-of-a-yogi-regional-languages-free-audiobook?4001
3-Autobiography of a Yogi / Hindi,https://yssofindia.org/hi/paramahansa-yogananda/autobiography-of-a-yogi,https://test.yssofindia.org/hi/paramahansa-yogananda/autobiography-of-a-yogi?4002
4-Translations Around the World / Hindi,https://yssofindia.org/hi/paramahansa-yogananda/translations-around-the-world,https://test.yssofindia.org/hi/paramahansa-yogananda/translations-around-the-world?4003
